filename    ; bea_reference; aircraft_registration; page_count; text_preview                                                                                                                                                                                                                                                                                            ; true_domains; true_criticality; difficulty; notes
974PT.pdf   ; BEA2023-0341 ;                      ;          8; RAPPORT D'ENQUETE DE SECURITE   www.bea.aero    @BEA_Aero                      avril 2025  BEA2023-0341    Accident survenu à l'hélicoptère ULM Heli-Sport – Ranabot CH77  identifié 974PT  le samedi 5 août 2023  à Saint-Paul (La Réunion)    Heure  À 9 h 511  Exploitant  Privé  Nature du vol  Navi; technical;            major;       easy; Défaillance technique structurelle de l'aéronef ULM
F-HBCM.pdf  ; BEA2024-0400 ; F-HBCM               ;          9; RAPPORT D'ENQUETE DE SECURITE   www.bea.aero    @BEA_Aero                      juillet 2025  BEA2024-0400  Incident survenu à l'ATR72-212A  immatriculé F-HBCM  exploité par Chalair Aviation  le samedi 21 septembre 2024  sur l'aéroport de Caen-Carpiquet (14)    Heure  Vers 8 h 201  Nature du vol ; technical;           serious;       easy; Défaillance système - incident sans dommage
36UU.pdf    ; BEA2022-0288 ;                      ;          5; RAPPORT D'ENQUETE DE SECURITE   www.bea.aero    @BEA_Aero                      août 2023  BEA2022-0288  Accident survenu à l'ULM paramoteur Ozone Freeride 17  identifié 36UU  le 25 juin 2022  à Savines-le-Lac (05)    Heure  Vers 6 h 451  Exploitant  Privé  Nature du vol  Compétition de slalom  P; human_factor;            major;       easy; Erreur pilote en compétition - dépassement de limites
F-GJXO.pdf  ; BEA2024-0065 ; F-GJXO               ;          4; RAPPORT D'ENQUETE DE SECURITE   www.bea.aero    @BEA_Aero                      juin 2024  BEA2024-0065    Accident survenu au SOCATA TB10  immatriculé F-GJXO  le 4 mars 2024  à Béziers-Vias (34)    Heure  Vers 14 h 301  Exploitant  ENAC  Nature du vol  Instruction  Personnes à bord  Instructrice; human_factor;            major;       easy; Erreur de l'élève durant formation
D-8631.pdf  ; BEA2025-0113 ; D-8631               ;          7; RAPPORT D'ENQUETE DE SECURITE   www.bea.aero                 mars 2026  BEA2025-0113  Accident du planeur SCHLEICHER ASW20  immatriculé D-8631  le samedi 5 avril 2025  à Saint-Geniez (04)    Heure  Vers 14 h 401  Exploitant  Privé  Nature du vol  Vol local  Personne à bord  Pilote  Conséquences ; human_factor|environmental;     major;      medium; Erreur pilote combinée aux conditions météorologiques
EC-NGC.pdf  ; BEA2023-0320 ; EC-NGC               ;         91; RAPPORT D'ENQUETE DE SECURITE   www.bea.aero                 décembre 2025  BEA2023-0320                    Incident grave  survenu au Boeing 737-809  immatriculé EC-NGC exploité par Albastar   et à l'Embraer 190  immatriculé F-HBLD exploité par HOP!  le vendredi 21 juillet 2023  en croisière à ; environmental|human_factor;    major;       hard; Conflit aérien - coordination et facteurs environnementaux complexes
F-ORVS.pdf  ; BEA2022-0150 ; F-ORVS               ;         29; RAPPORT D'ENQUETE DE SECURITE   www.bea.aero                        juillet 2025  BEA2022-0150    Incident grave survenu à l'ATR72-212A  immatriculé F-ORVS  le lundi 4 avril 2022  à Hiva-Oa-Atuona (Polynésie française - Marquises)    Heure  À 22 h 431  Exploitant  Air Tahiti  Nature du vol  Tran; technical|human_factor;      major;       hard; Défaillance système complexe avec réaction pilote inadéquate
3A-MVT.pdf  ; BEA2022-0580 ;                      ;         31; RAPPORT D'ENQUETE DE SECURITE   www.bea.aero    @BEA_Aero                      novembre 2023  BEA2022-0580  Accident survenu à l'Airbus EC130 - T2  immatriculé 3A-MVT  le 25 novembre 2022  à Villefranche-sur-Mer (06)    Heure  À 12 h 311  Exploitant  Monacair  Nature du vol  Transport commercial; technical|human_factor;      major;      medium; Défaillance technique transport commercial avec erreurs procédurales
F-HTYO.pdf  ; BEA2023-0186 ; F-HTYO               ;         77; RAPPORT D'ENQUETE DE SECURITE   www.bea.aero                 décembre 2025  BEA2023-0186                    Incident survenu à l'AIRBUS A350-900  immatriculé F-HTYO  exploité par Air France  le 28 mai 2023  en croisière depuis l'aéroport d'Osaka (Japon)          Source : Air France     - 2 -    ; technical;           serious;       easy; Défaillance système A350 - incident géré correctement
F-BXEU.pdf  ; BEA2020-0451 ; F-BXEU               ;        113; RAPPORT D'ENQUETE DE SECURITE   www.bea.aero    @BEA_Aero                      Mars 2023  BEA2020-0451  Accident   1. de l'avion Robin DR400 – 140  immatriculé F-BXEU et  2. de l'ULM multiaxes Alpi Aviation Pioneer 300  identifié 37AHH  survenu le 10 octobre 2020  à Loches (37)    Heure  Vers 16; human_factor|environmental;     major;       hard; Collision aérienne - facteurs multiples avec conflit airspace
